api_block_code,block_name,Block Name (Hindi),As per Planning Department Code,As per concerned Department,lokos_block_id,lokos_district_id
1064,Amanpur,अमांपुर,1064,,313531,31349
999,Ambiapur,अम्बियापुर,999,,310205,31018
1000,Asafpur,आसफपुर,1000,,310206,31018
1412,Asmauli,असमोली,1412,,313756,31370
1511,Aurai,औराई,1511,,313774,31372
1065,Awagarh,अवागढ़,1065,,313332,31330
934,Baberu,बबेरू,934,,313233,31322
1153,Babhanjot,बाभनजोत,1153,,313400,31338
1501,Baghauli,बघौली,1501,,313764,31371
960,Baheri,बहेड़ी,960,,313257,31324
831,Bahria,बहरिया,831,,313699,31366
1414,Baniyakhera,बनियाखेड़ा,1414,,313758,31370
1294,Bankeyganj,बांकेगंज,1294,,313546,31351
909,Bansdih,बांसडीह,909,,313217,31321
1169,Bansgaon,बासगांव,1169,,313416,31339
852,Bhiti,भीटी,852,,313130,31313
853,Bhiyawan,भियांव,853,,313131,31313
936,Bisanda,बिसण्डा,936,,313235,31322
1552,Biswan,बिसवां,1552,,313820,31377
1173,Brahmpur,ब्रह्मपुर,1173,,313421,31339
1174,Campierganj,कैम्पियरगंज,1174,,313422,31339
1034,Chahniya,चाहनिया,1034,,313302,31327
1570,Chatra,छात्र,1570,,313838,31378
912,Chilkahar,चिलखर,912,,313220,31321
1406,City Nagar,नगरसिटी,1406,,313646,31361
1139,Devkali,देवकली,1139,,313386,31337
1297,Dhaurhara,धौरहरा,1297,,313549,31351
967,Fatehganj,फतेहगंज,967,,313263,31324
823,Gangiri,गंगीरी,823,,313121,31312
1066,Ganj Dundwara,गंजडुण्डवारा,1066,,313532,31349
914,Garwar,गरवार,914,,313222,31321
1056,Gauri Bazar,गौरी बाजार,1056,,313324,31329
1004,Gunnaur,गुन्नौर,1004,,313759,31370
1401,Hallia,हलिया,1401,,313647,31361
915,Hanumanganj,हनुमानगंज,915,,313223,31321
979,Harraiya,हरैया,979,,313276,31325
1111,Hathgaon,हथगांव,1111,,313362,31333
896,Huzoorpur,हुजूरपुर,896,,313205,31320
1298,Isanagar,ईसानगर,1298,,313550,31351
1587,Jagdishpur,जगदीशपुर,1587,,313142,31314
1067,Jaithara,जैथरा,1067,,313333,31330
1215,Jalaun,जालौन,1215,,313474,31344
1589,Jamo,जामों,1589,,313143,31314
1534,Jamunaha,जमुनहा,1534,,313802,31375
1007,Junawai,जुवईं,1007,,313760,31370
1358,Kabrai,कबरई,1358,,313603,31356
938,Kamasin,कमासिन,938,,313237,31322
1288,Kaushambi,कौशाम्बी,1288,,313540,31350
1543,Khesraha,खेसरहा,1543,,313811,31376
840,Koraon,कोरांव,840,,313709,31366
994,Kotwali,कोतवाली,994,,310200,31017
981,Kudaraha,कुदरहा,981,,313278,31325
1232,Machchali Shahar,मछलीशहर,1232,,313491,31345
1348,Mahrajganj,महाराजगंज,1348,,313593,31355
969,Majhgawan,मझगवां,969,,313265,31324
841,Manda,मण्डा,841,,313710,31366
1326,Mandawara,मडवारा,1326,,313578,31353
916,Maniar,मनियर,916,,313224,31321
1289,Manjhanpur,मंझनपुर,1289,,313541,31350
1145,Mardah,मरदाह,1145,,313392,31337
1409,Marihan  (Patehra),मरिहन (पटेहरा),1409,,313654,31361
1349,Mithaura,मिठौरा,1349,,313594,31355
996,Najibabad,नजीबाबाद,996,,310202,31017
1350,Nautanwa,नौतनवा,1350,,313595,31355
1100,Nawabganj,नवाबगंज,1100,,313351,31332
1351,Nichlaul,निचलौल,1351,,313596,31355
951,Nindaura,निन्दूरा,951,,313249,31323
1408,Pahari,पहाड़ी,1408,,313653,31361
920,Pandah,पन्दह,920,,313228,31321
1164,Pandri Kripal,पन्धरी कृपाल,1164,,313411,31338
1352,Paniyara,पनियरा,1352,,313597,31355
1422,Panwasa,पवांसा,1422,,313761,31370
1353,Partawal,परथावल,1353,,313598,31355
1507,Pauli,पौली,1507,,313770,31371
1445,Puranpur,पूरनपुर,1445,,313680,31364
952,Puredalai,पुरेडलई,952,,313250,31323
1009,Qadar Chowk,कादरचौक,1009,,310213,31018
1101,Rajepur,राजेपुर,1101,,313352,31332
1410,Rajgarh,राजगढ़,1410,,313655,31361
1010,Rajpura,रजपुरा,1010,,313762,31370
1046,Ram Nagar,रामनगर,1046,,313314,31328
1308,Ramia Behar,रमियाबेहड़,1308,,313560,31351
1238,Rampur,रामपुर,1238,,313497,31345
1222,Rampura,रामपुरा,1222,,313481,31344
921,Rasra,रसड़ा,921,,313229,31321
1147,Revatipur,रोटीपुर,1147,,313394,31337
965,Richha (Damkhauda),रिच्छा (दमखौदा),965,,313269,31324
1166,Rupaideeh,रुपईडीह,1166,,313413,31338
1148,Sadat,सादात,1148,,313395,31337
1487,Saidnagar,सैदनगर,1487,,313742,31368
1074,Sakit,सकीट,1074,,313337,31330
