api_month_code,month_name,Month (Hindi),As per Planning Department Code,As per concerned Department,,
4,April,अप्रैल,4,,,
5,May,मई,5,,,
6,June,जून,6,,,
7,July,जुलाई,7,,,
8,August,अगस्त,8,,,
9,September,सितम्बर,9,,,
10,October,अक्टूबर,10,,,
11,November,नवम्बर,11,,,
12,December,दिसम्बर,12,,,
1,January,जनवरी,1,,,
2,February,फरवरी,2,,,
3,March,मार्च,3,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Quarter Month,As per Planning Department Code,As per concerned Department,,,,
Q1 Apr to Jun,Q1 Apr to Jun,,,,,
Q2 Jul to Sep,Q2 Jul to Sep,,,,,
Q3 Oct to Dec,Q3 Oct to Dec,,,,,
Q4 Jan to Mar,Q4 Jan to Mar,,,,,
,,,,,,
,,,,,,
Half Year,As per Planning Department Code,As per concerned Department,,,,
B1 Apr To Sep,B1 Apr To Sep,,,,,
B2 Oct To Mar,B2 Oct To Mar,,,,,
,,,,,,
,,,,,,
Four Monthly,As per Planning Department Code,As per concerned Department,,,,
F1 Apr To Jul,F1 Apr To Jul,,,,,
F2 Aug To Nov,F2 Aug To Nov,,,,,
F3 Dec To Mar,F3 Dec To Mar,,,,,
