api_dept_code,dept_name,Department Name (Hindi),As per Planning Department Code,As per concerned Department
1,ICDS,बाल विकास सेवा एवं पुष्टाहार,1,
2,Medical Health and Family Welfare,चिकित्सा स्वास्थ्य  एवं  परिवार कल्याण,2,
3,Basic Education,बेसिक शिक्षा,3,
4,Secondary Education,माध्यमिक  शिक्षा,4,
5,Agriculture,कृषि,5,
7,Animal Husbandry,पशुधन,7,
8,Rural Development,ग्राम्य विकास,8,
9,Institutional Finance,संस्थागत वित्त,9,
10,Vocational Education and Skill Development,व्यावसायिक शिक्षा  एवं कौशल विकास,10,
11,Energy,ऊर्जा,11,
12,IT & Electronics,आई टी एवं इलेक्ट्रॉनिक्स,12,
13,Namami Gange and Rural Water Supply,नमामि गंगे एवं ग्रामीण जलापूर्ति,13,
14,Panchayati Raj,पंचायतीराज,14,
15,Horticulture,औद्यानिकी,15,
16,MSME,एम् एस एम् इ,16,
