api_district_code,district_name,Ditrsict Name(Hindi),As per Planning Department Code,As per concerned Department,lokos_district_id
119,Aligarh,अलीगढ़,119,,31312
121,Ambedkarnagar,अम्बेडकर नगर,121,,31313
640,Amethi,अमेठी,640,,31314
126,Ballia,बलिया,126,,31321
128,Banda,बाँदा,128,,31322
129,Barabanki,बाराबंकी,129,,31323
130,Bareilly,बरेली,130,,31324
131,Basti,बस्ती,131,,31325
132,Bijnore,बिजनौर,132,,31017
133,Budaun,बदायूँ,133,,31018
137,Deoria,देवरिया,137,,31329
138,Etah,एटा,138,,31330
141,Farrukhabad,फर्रूखाबाद,141,,31332
146,Ghazipur,गाजीपुर,146,,31337
147,Gonda,गोण्डा,147,,31338
148,Gorakhpur,गोरखपुर,148,,31339
150,Hardoi,हरदोई,150,,31342
151,Jalaun,जालौन,151,,31344
152,Jaunpur,जौनपुर,152,,31345
633,Kasganj,कासगंज,633,,31349
158,Kaushambi,कौशाम्बी,158,,31350
159,Kheri,खीरी,159,,31351
160,Kushinagar,कुशीनगर,160,,31352
161,Lalitpur,ललितपुर,161,,31353
165,Mahoba,महोबा,165,,31356
164,Maharajganj,महाराजगंज,164,,31355
170,Mirzapur,मिर्जापुर,170,,31361
173,Pilibhit,पीलीभीत,173,,31364
120,Prayagraj,प्रयागराज,120,,31366
176,Rampur,रामपुर,176,,31368
659,Sambhal,संभल,659,,31370
183,Sitapur,सीतापुर,183,,31377
178,Sant Kabir Nagar,संतकबीर नगर,178,,31371
179,Sant Ravidas Nagar,संत रविदास नगर,179,,31372
125,Bahraich,बहराइच,125,,31320
127,Balrampur,बलरामपुर,127,,31012
135,Chandauli,चंदौली,135,,31327
142,Fatehpur,फतेहपुर,142,,31333
136,Chitrakoot,चित्रकूट,136,,31328
181,Shrawasti,श्रावस्ती,181,,31375
182,Siddharthnagar,सिद्धार्थनगर,182,,31376
184,Sonbhadra,सोनभद्र,184,,31378
