IndicatorCode,Indicator Name,Indicator Head Code,Periodicity,LeadDeptNameID,IndicatorType,weightagePercente,As per Planning Department Code,As per concerned Department
0132,1.8 Percentage of pregnant women taking Supplementary Nutrition under the ICDS programme regularly,01,1,1,1,3,0132,
0133,1.3 Percentage of low-birth weight babies (less than 2500g)  (-ve),01,1,2,2,2,0133,
0134,1.11 Percentage of children under 5 years with Severe Acute Malnutrition (SAM)  (-ve),01,1,1,2,2,0134,
0135,1.12 Percentage of children under 5 years with Moderate Acute Malnutrition (MAM)  (-ve),01,1,1,2,2,0135,
0107,1.15 Percentage of pregnant women receiving 4 or more antenatal care check-ups to the total no. of pregnant women registered for Antenatal Care (ANC) (0107),01,4,2,1,NULL,0107,
0136,1.1 Percentage of pregnant women registered for Antenatal care (ANC) within the first trimester,01,1,2,1,3,0136,
0118,1.16 Percentage of children fully immunized (9-11 months) (BCG+ DPT3 + OPV3 + Measles1) (0118),01,1,2,1,3.1,0118,
0123,1.17 Percentage of Golden cards distributed against eligible families (0123),01,1,2,1,1.1,0123,
0224,2.6 Percentage of schools having adequate no. of girls’ toilet facilities against the total number of schools,02,4,3,1,NULL,0224,
0203,2.12 Mathematics performance in class 3 (0203),02,3,3,1,NULL,0203,
0204,2.13 Language performance in class 3 (0204),02,3,3,1,NULL,0204,
0206,2.14 Mathematics performance in class 5 (0205),02,3,3,1,NULL,0206,
0205,2.15 Language performance in class 5 (0206),02,3,3,1,NULL,0205,
0207,2.16 Mathematics performance in class 8 (0207),02,3,3,1,NULL,0207,
0208,2.17 Language performance in class 8 (0208),02,3,3,1,NULL,0208,
0407,5.6 Percentage of youth certified in short term or long term training schemes to no. of youth in Block in age group 15-29 (0407),05,1,10,1,1,0407,
0137,1.7 Percentage of Tuberculosis (TB) cases treated successfully against TB cases notified a year ago,01,1,2,1,NULL,0137,
0124,1.2 Percentage of institutional deliveries against total reported deliveries,01,1,2,1,2,0124,
,,,,,,,0,
,,,,,,,0,
0125,1.4 Percentage of National Quality Assurance Standards (NQAS) certified facilities in the Block,01,2,2,1,NULL,0125,
0126,1.5 Percentage of persons screened for hypertension against targeted population in the Block,01,1,2,1,1,0126,
0127,1.6 Percentage of persons screened for diabetes against targeted population in the Block,01,1,2,1,1,0127,
0128,1.10 Measurement efficiency of children enrolled at Anganwadi Centres during the reporting month,01,1,1,1,2,0128,
0129,1.13 Percentage of operational Anganwadis Centres with functional toilets,01,1,1,1,2,0129,
0130,1.14 Percentage of operational Anganwadis Centres with drinking water facilities,01,1,1,1,2,0130,
0131,1.9 Percentage of children from 6 months to 6 years taking Supplementary Nutrition under the ICDS programme regularly,01,1,1,1,3,0131,
0214,2.5 Percentage of elementary schools having Pupil Teacher Ratio (PTR) less than equal to 30,02,4,3,1,NULL,0214,
0215,2.7 Percentage of schools having trained teachers for teaching child with special needs (CwSN),02,4,3,1,NULL,0215,
0216,2.1 Transition Rate - Percentage of boys transitioned from Upper Primary to Secondary level,02,4,4,1,NULL,0216,
0217,2.10 Percentage of boys with 60% and above marks in Class XII board exam,02,4,4,1,NULL,0217,
0218,2.11 Percentage of girls with 60% and above marks in Class XII board exam,02,4,4,1,NULL,0218,
0219,2.2 Transition Rate - Percentage of girls transitioned from Upper Primary to Secondary level,02,4,4,1,NULL,0219,
0220,2.3 Transition Rate - Percentage of boys transitioned from Secondary to Higher Secondary Level,02,4,4,1,NULL,0220,
0221,2.4 Transition Rate - Percentage of girls transitioned from Secondary to Higher Secondary Level,02,4,4,1,NULL,0221,
0222,2.8 Percentage of boys with 60% and above marks in Class X board exam,02,4,4,1,NULL,0222,
0223,2.9 Percentage of girls with 60% and above marks in Class X board exam,02,4,4,1,NULL,0223,
0316,3.1 Percentage of FPOs formed in the block against total sanctioned,03,3,5,1,NULL,0316,
0317,3.2 Percentage of beneficiaries under PM Kisan with AEPB (Aadhaar Enabled Payment Bridge) Seeded against total no. of beneficiaries with land details seeded,03,5,5,1,NULL,0317,
0318,3.3 Percentage of Soil Health Cards generated against soil sample collection target,03,3,5,1,NULL,0318,
0319,3.4 Percentage of Bovine Animals Vaccinated (FMD),03,3,7,1,NULL,0319,
0320,3.5 Stage of Ground Water Extraction (%)   (-ve),03,4,13,2,NULL,0320,
,,,,,,,0,
0417,4.1 Percentage of Households (HHs) with functional tap water connections (FHTC) against total number of HHs in the block,04,1,13,1,5,0417,
0418,4.2 Percentage of villages declared Open Defecation Free (ODF) plus,04,1,14,1,5,0418,
0419,4.5 Percentage of households constructed under PMAY against cumulative target in the block,04,1,8,1,2,0419,
0420,4.3 Percentage of Gram Panchayats with BharatNet (IT & Electronics),04,1,12,1,1.5,0420,
0421,4.4 Percentage of Gram Panchayats with Live BharatNet connection against total number Gram Panchayats with BharatNet,04,1,12,1,1.5,0421,
0509,5.1 No. of banking touch points (bank branch/BC/IPPB centre) located in the block,05,1,9,1,0.5,0509,
0510,5.2 Percentage of Gram Panchayats with atleast 250 beneficiaries digitally certified under PM Digital Saksharata Abhiyaan,05,1,12,1,1.5,0510,
0511,5.3 Total number of eligible households (HHs) added to SHGs,05,1,8,1,0.5,0511,
0512,5.4 Percentage of SHGs that have received Revolving Fund against total SHGs in the block,05,1,8,1,1.5,0512,
0513,5.5 Vocal for Local,05,1,16,1,NULL,0513,
,,,,,,,,
,,,,,,,,
,,,,,1= +Ve,,,
,,,,,2= -Ve,,,
